COUNTRY,YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,1l,2l,3l,4l,5l,6l,7l,8l,9l,10l,11l,12l,13l,14l,15l,16l,17l,18l,19l,20l,21l,22l,23l,24l,25l,26l,27l,28l,29l,30l,31l,32l,33l,34l,35l,36l,37l,38l,39l,40l,41l,42l,43l,44l,45l,46l,47l,48l,49l,50l,51l,52l,53l,54l,55l,56l,57l,58l,59l,60l,61l,62l,63l,64l,65l,66l,67l,68l,69l,70l,71l,72l,73l,74l,75l,76l,77l,78l,79l,80l,81l,82l,83l,84l,85l,86l,87l,88l,89l,90l,91l,92l,93l,94l,95l,96l,97l,98l,99l,100l,101l,102l,103l,104l,105l,106l,107l,108l,109l,110l,111l,112l,113l,114l,115l,116l,117l,118l,119l,120l,121l,122l,123l,124l
DO,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,33,0,67,67,100,67,100,67,0,0,0,0,100,67,67,67,67,0,0,0,67,67,33,33,100,100,0,67,33,33,0,-1,-1,-1,33,33,100,67,-1,-1,0,0,33,0,0,-1,-1,-1,33,-1,-1,-1,-1,-1,0,0,0,0,0,-1,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,b,b,c,d,b,b,a,b,a,b,d,d,d,d,a,b,b,b,b,d,d,d,b,b,c,c,a,a,d,b,c,c,d,e,e,e,c,c,a,b,e,e,d,d,c,d,d,e,e,e,c,e,e,e,e,e,d,d,d,d,d,e
DO,2012,100,100,100,100,0,0,100,100,0,0,100,100,33,33,0,0,0,100,100,100,0,100,0,0,0,100,0,0,100,0,0,0,0,0,67,33,33,0,33,0,0,0,0,0,100,0,0,33,0,33,0,0,0,0,33,100,0,0,0,0,0,0,100,67,100,0,0,0,0,67,100,67,0,0,0,0,100,0,33,0,33,33,0,0,0,0,33,33,100,100,0,100,33,33,0,33,100,33,100,67,100,100,67,100,100,0,33,0,0,0,0,0,33,33,0,0,67,0,67,0,0,0,67,0,a,a,a,a,d,d,a,a,d,d,a,a,c,c,d,d,d,a,a,a,d,a,d,d,d,a,d,d,a,d,d,d,d,d,b,c,c,d,c,d,d,d,d,d,a,d,d,c,d,c,d,d,d,d,c,a,d,d,d,d,d,d,a,b,a,d,d,d,d,b,a,b,d,d,d,d,a,d,c,d,c,c,d,d,d,d,c,c,a,a,d,a,c,c,d,c,a,c,a,b,a,a,b,a,a,d,c,d,d,d,d,d,c,c,d,d,b,d,b,d,d,d,b,d
EC,2006,100,100,100,67,0,0,100,67,0,0,100,100,33,67,33,0,0,100,100,100,67,67,0,0,0,100,100,67,67,0,0,0,33,0,0,100,0,0,33,0,33,0,0,0,0,100,0,0,0,0,0,0,0,0,33,100,0,0,0,0,0,0,67,100,-1,100,100,100,100,67,33,100,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,-1,0,0,-1,-1,100,33,100,0,-1,-1,0,0,0,0,0,-1,-1,-1,67,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,a,a,a,b,d,d,a,b,d,d,a,a,c,b,c,d,d,a,a,a,b,b,d,d,d,a,a,b,b,d,d,d,c,d,d,a,d,d,c,d,c,d,d,d,d,a,d,d,d,d,d,d,d,d,c,a,d,d,d,d,d,d,b,a,e,a,a,a,a,b,c,a,d,d,d,d,b,d,d,d,d,d,d,d,d,d,d,d,d,a,d,a,d,e,d,d,e,e,a,c,a,d,e,e,d,d,d,d,d,e,e,e,b,e,e,e,e,e,d,d,d,d,e,e
EC,2008,100,100,100,100,0,0,100,100,0,0,33,100,33,67,0,0,0,100,100,100,100,67,0,0,0,67,100,100,100,0,0,0,33,0,100,100,33,0,0,0,0,0,0,0,0,100,100,67,0,0,0,0,0,0,33,100,100,100,0,0,0,0,100,100,100,100,100,100,100,100,33,67,0,0,0,0,100,0,0,67,0,0,0,0,0,67,0,0,0,100,0,100,0,33,0,0,-1,-1,100,33,100,0,-1,-1,0,0,0,0,0,-1,-1,-1,100,-1,-1,-1,-1,-1,33,33,0,0,100,-1,a,a,a,a,d,d,a,a,d,d,c,a,c,b,d,d,d,a,a,a,a,b,d,d,d,b,a,a,a,d,d,d,c,d,a,a,c,d,d,d,d,d,d,d,d,a,a,b,d,d,d,d,d,d,c,a,a,a,d,d,d,d,a,a,a,a,a,a,a,a,c,b,d,d,d,d,a,d,d,b,d,d,d,d,d,b,d,d,d,a,d,a,d,c,d,d,e,e,a,c,a,d,e,e,d,d,d,d,d,e,e,e,a,e,e,e,e,e,c,c,d,d,a,e
EC,2010,100,100,100,100,0,0,100,100,0,0,33,100,0,33,0,0,0,100,0,0,0,67,0,0,0,0,100,100,67,0,33,0,33,67,67,0,67,0,0,0,0,0,0,0,0,100,-1,33,0,0,0,0,0,0,33,100,100,100,0,0,0,0,100,100,33,0,100,100,100,100,33,67,0,0,0,0,100,0,0,33,0,0,0,0,0,33,0,0,0,100,0,100,33,33,0,0,-1,-1,100,33,100,0,-1,-1,0,0,33,0,0,-1,-1,-1,100,-1,-1,-1,-1,-1,0,0,0,0,100,-1,a,a,a,a,d,d,a,a,d,d,c,a,d,c,d,d,d,a,d,d,d,b,d,d,d,d,a,a,b,d,c,d,c,b,b,d,b,d,d,d,d,d,d,d,d,a,e,c,d,d,d,d,d,d,c,a,a,a,d,d,d,d,a,a,c,d,a,a,a,a,c,b,d,d,d,d,a,d,d,c,d,d,d,d,d,c,d,d,d,a,d,a,c,c,d,d,e,e,a,c,a,d,e,e,d,d,c,d,d,e,e,e,a,e,e,e,e,e,d,d,d,d,a,e
EC,2012,100,100,100,100,100,0,100,100,100,67,33,100,33,67,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,33,0,0,0,0,0,33,0,33,33,0,0,0,0,0,33,100,100,67,33,100,67,67,100,100,100,0,100,100,0,100,67,33,0,0,0,0,100,0,67,67,67,0,0,0,0,0,0,0,0,100,0,100,33,0,0,0,100,0,67,67,100,33,33,0,-1,-1,33,0,0,0,0,0,100,0,0,0,0,0,0,33,33,0,67,100,a,a,a,a,a,d,a,a,a,b,c,a,c,b,d,c,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,c,c,d,c,d,d,d,d,d,c,d,c,c,d,d,d,d,d,c,a,a,b,c,a,b,b,a,a,a,d,a,a,d,a,b,c,d,d,d,d,a,d,b,b,b,d,d,d,d,d,d,d,d,a,d,a,c,d,d,d,a,d,b,b,a,c,c,d,e,e,c,d,d,d,d,d,a,d,d,d,d,d,d,c,c,d,b,a
EG,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,67,100,0,0,0,0,67,100,-1,100,67,100,100,67,0,33,67,0,0,0,67,100,100,67,100,33,0,0,67,33,0,0,0,0,0,100,100,-1,67,67,-1,-1,100,67,67,0,-1,-1,100,0,100,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,33,0,0,-1,-1,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,a,b,a,d,d,d,d,b,a,e,a,b,a,a,b,d,c,b,d,d,d,b,a,a,b,a,c,d,d,b,c,d,d,d,d,d,a,a,e,b,b,e,e,a,b,b,d,e,e,a,d,a,d,d,e,e,e,d,e,e,e,e,e,d,c,d,d,e,e
EG,2008,100,100,100,33,100,33,100,100,100,33,0,100,0,33,0,0,0,100,100,100,33,100,100,100,100,33,100,100,100,100,100,100,100,67,33,67,33,67,33,33,0,0,0,67,0,0,0,33,33,0,0,0,0,0,33,100,100,100,0,0,0,0,100,100,67,100,100,100,100,67,33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,33,-1,-1,67,67,67,0,-1,-1,100,100,100,0,0,-1,-1,-1,100,-1,-1,-1,-1,-1,33,33,0,0,0,-1,a,a,a,c,a,c,a,a,a,c,d,a,d,c,d,d,d,a,a,a,c,a,a,a,a,c,a,a,a,a,a,a,a,b,c,b,c,b,c,c,d,d,d,b,d,d,d,c,c,d,d,d,d,d,c,a,a,a,d,d,d,d,a,a,b,a,a,a,a,b,c,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,a,a,d,d,c,e,e,b,b,b,d,e,e,a,a,a,d,d,e,e,e,a,e,e,e,e,e,c,c,d,d,d,e
EG,2010,100,100,100,67,0,0,100,100,0,0,100,100,67,67,0,0,0,100,100,100,33,100,100,67,100,100,100,100,100,100,100,100,67,100,33,67,67,0,33,33,0,0,0,0,0,0,0,67,0,0,0,0,0,0,67,100,0,100,67,0,0,0,100,100,0,100,100,100,100,67,67,100,67,33,0,67,100,100,100,67,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,-1,-1,100,67,67,0,-1,-1,100,100,100,0,0,-1,-1,-1,100,-1,-1,-1,-1,-1,0,0,0,0,0,-1,a,a,a,b,d,d,a,a,d,d,a,a,b,b,d,d,d,a,a,a,c,a,a,b,a,a,a,a,a,a,a,a,b,a,c,b,b,d,c,c,d,d,d,d,d,d,d,b,d,d,d,d,d,d,b,a,d,a,b,d,d,d,a,a,d,a,a,a,a,b,b,a,b,c,d,b,a,a,a,b,a,d,d,d,d,d,d,d,d,d,d,a,a,d,d,d,e,e,a,b,b,d,e,e,a,a,a,d,d,e,e,e,a,e,e,e,e,e,d,d,d,d,d,e
EG,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,33,0,0,0,0,0,100,100,0,100,100,100,100,67,33,100,0,0,0,0,100,100,67,67,33,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100,33,100,67,67,100,0,33,100,0,100,0,0,0,0,0,33,33,33,33,0,0,0,0,0,0,0,0,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,a,c,d,d,d,d,d,a,a,d,a,a,a,a,b,c,a,d,d,d,d,a,a,b,b,c,d,d,d,d,d,d,d,d,d,d,a,a,d,d,d,a,c,a,b,b,a,d,c,a,d,a,d,d,d,d,d,c,c,c,c,d,d,d,d,d,d,d,d
SV,2006,100,100,100,0,0,0,100,100,0,0,0,100,0,33,0,33,33,33,0,67,0,0,0,0,0,0,100,100,0,0,0,0,0,0,67,33,33,33,33,0,33,33,67,100,33,67,0,33,0,0,0,0,0,0,33,100,0,0,67,0,0,0,100,100,-1,0,100,67,0,0,0,67,0,0,0,0,100,0,33,67,67,0,0,0,0,33,0,0,0,100,0,100,100,-1,0,0,-1,-1,100,100,100,100,-1,-1,100,33,33,0,100,-1,-1,-1,67,-1,-1,-1,-1,-1,33,67,33,0,-1,-1,a,a,a,d,d,d,a,a,d,d,d,a,d,c,d,c,c,c,d,b,d,d,d,d,d,d,a,a,d,d,d,d,d,d,b,c,c,c,c,d,c,c,b,a,c,b,d,c,d,d,d,d,d,d,c,a,d,d,b,d,d,d,a,a,e,d,a,b,d,d,d,b,d,d,d,d,a,d,c,b,b,d,d,d,d,c,d,d,d,a,d,a,a,e,d,d,e,e,a,a,a,a,e,e,a,c,c,d,a,e,e,e,b,e,e,e,e,e,c,b,c,d,e,e
SV,2008,100,67,100,100,0,0,100,100,0,0,0,100,0,33,0,33,33,33,67,100,0,0,0,0,0,33,100,100,0,100,0,0,0,0,33,67,67,0,0,0,-1,0,67,0,33,67,0,67,0,0,0,0,0,0,33,100,100,100,0,100,0,67,100,100,67,0,100,100,100,100,33,67,0,0,0,0,100,0,67,67,67,0,0,0,0,67,0,0,0,100,0,100,100,100,0,0,-1,-1,100,67,100,100,-1,-1,100,100,33,0,100,-1,-1,-1,100,-1,-1,-1,-1,-1,67,67,33,0,100,-1,a,b,a,a,d,d,a,a,d,d,d,a,d,c,d,c,c,c,b,a,d,d,d,d,d,c,a,a,d,a,d,d,d,d,c,b,b,d,d,d,e,d,b,d,c,b,d,b,d,d,d,d,d,d,c,a,a,a,d,a,d,b,a,a,b,d,a,a,a,a,c,b,d,d,d,d,a,d,b,b,b,d,d,d,d,b,d,d,d,a,d,a,a,a,d,d,e,e,a,b,a,a,e,e,a,a,c,d,a,e,e,e,a,e,e,e,e,e,b,b,c,d,a,e
SV,2010,100,67,100,100,0,0,100,100,0,0,0,100,0,33,0,33,33,67,0,67,0,0,0,0,0,100,100,100,0,0,0,0,0,0,33,67,33,0,0,0,-1,0,0,100,33,100,0,67,0,0,0,0,0,0,33,100,100,100,0,100,0,33,100,100,33,0,100,100,100,100,33,67,0,0,0,0,100,0,67,67,100,0,0,0,0,100,0,0,0,100,0,100,100,100,0,0,-1,-1,100,67,100,0,-1,-1,100,0,33,0,100,-1,-1,-1,100,-1,-1,-1,-1,-1,33,67,33,0,100,-1,a,b,a,a,d,d,a,a,d,d,d,a,d,c,d,c,c,b,d,b,d,d,d,d,d,a,a,a,d,d,d,d,d,d,c,b,c,d,d,d,e,d,d,a,c,a,d,b,d,d,d,d,d,d,c,a,a,a,d,a,d,c,a,a,c,d,a,a,a,a,c,b,d,d,d,d,a,d,b,b,a,d,d,d,d,a,d,d,d,a,d,a,a,a,d,d,e,e,a,b,a,d,e,e,a,d,c,d,a,e,e,e,a,e,e,e,e,e,c,b,c,d,a,e
SV,2012,100,67,100,100,100,0,100,100,100,0,100,100,33,33,0,33,67,100,33,100,0,33,100,33,100,0,100,0,33,100,0,100,33,0,0,67,33,0,0,0,0,0,0,67,33,67,0,100,0,33,67,33,67,67,67,100,0,0,0,0,0,0,100,100,33,0,100,100,100,100,33,100,0,0,0,0,100,0,67,67,67,33,0,0,33,100,0,0,0,100,0,100,100,100,0,0,100,33,100,67,100,100,33,67,100,0,0,0,67,33,0,33,100,0,0,0,0,0,33,67,33,0,33,0,a,b,a,a,a,d,a,a,a,d,a,a,c,c,d,c,b,a,c,a,d,c,a,c,a,d,a,d,c,a,d,a,c,d,d,b,c,d,d,d,d,d,d,b,c,b,d,a,d,c,b,c,b,b,b,a,d,d,d,d,d,d,a,a,c,d,a,a,a,a,c,a,d,d,d,d,a,d,b,b,b,c,d,d,c,a,d,d,d,a,d,a,a,a,d,d,a,c,a,b,a,a,c,b,a,d,d,d,b,c,d,c,a,d,d,d,d,d,c,b,c,d,c,d
GQ,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,33,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,e,e,d,c,d,d,e,e,d,d,d,d,d,e,e,e,d,e,e,e,e,e,d,d,d,d,d,e
GQ,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,100,67,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,e,e,a,b,d,d,e,e,d,d,d,d,d,e,e,e,d,e,e,e,e,e,d,d,d,d,d,e
GQ,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
FJ,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,67,67,100,100,67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100,67,100,33,0,0,0,0,0,67,100,100,0,0,67,0,67,0,0,-1,-1,67,67,100,100,-1,-1,100,-1,100,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,33,67,0,0,33,-1,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,b,b,a,a,b,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,b,a,b,a,c,d,d,d,d,d,b,a,a,d,d,b,d,b,d,d,e,e,b,b,a,a,e,e,a,e,a,d,d,e,e,e,d,e,e,e,e,e,c,b,d,d,c,e
FJ,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,c,d,d,d,e,e,d,d,d,d,e,e,d,d,d,d,d,e,e,e,d,e,e,e,e,e,d,d,d,d,d,e
FJ,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,0,100,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,100,0,0,0,-1,0,0,0,0,0,0,0,0,33,33,33,33,0,0,0,0,0,0,0,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,b,b,b,d,a,b,b,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,d,d,d,d,d,d,d,d,a,d,d,d,e,d,d,d,d,d,d,d,d,c,c,c,c,d,d,d,d,d,d,d
FR,2006,100,67,100,100,100,67,100,100,100,33,100,100,100,100,33,100,100,67,67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,67,67,67,67,67,67,33,33,-1,100,100,100,100,67,67,67,100,67,100,100,100,100,100,100,100,100,100,100,100,-1,100,100,100,100,100,100,67,100,100,67,100,67,100,100,100,100,100,100,100,100,100,67,100,100,100,100,100,100,-1,33,67,-1,-1,100,67,100,67,-1,-1,100,67,100,0,100,-1,-1,-1,33,-1,-1,-1,-1,-1,33,33,0,67,-1,-1,a,b,a,a,a,b,a,a,a,c,a,a,a,a,c,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,c,c,e,a,a,a,a,b,b,b,a,b,a,a,a,a,a,a,a,a,a,a,a,e,a,a,a,a,a,a,b,a,a,b,a,b,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,e,c,b,e,e,a,b,a,b,e,e,a,b,a,d,a,e,e,e,c,e,e,e,e,e,c,c,d,b,e,e
FR,2008,100,100,100,100,100,67,100,100,100,33,100,100,100,100,33,100,100,67,67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,67,100,67,67,67,67,33,67,-1,100,100,100,100,67,67,67,100,67,100,100,100,100,100,100,100,100,100,100,100,33,100,100,100,100,100,100,67,0,0,0,0,100,100,100,100,100,100,100,100,100,100,67,100,100,100,100,100,100,67,33,67,-1,-1,100,67,100,67,-1,-1,100,67,100,67,100,-1,-1,-1,100,-1,-1,-1,-1,-1,33,67,0,100,0,-1,a,a,a,a,a,b,a,a,a,c,a,a,a,a,c,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,b,b,b,b,c,b,e,a,a,a,a,b,b,b,a,b,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a,b,d,d,d,d,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,b,c,b,e,e,a,b,a,b,e,e,a,b,a,b,a,e,e,e,a,e,e,e,e,e,c,b,d,a,d,e
FR,2010,100,100,100,100,100,33,100,100,100,33,100,100,33,100,0,67,100,100,100,100,100,100,100,33,100,100,100,100,100,100,100,100,33,100,100,100,100,67,67,0,67,67,67,-1,100,100,100,100,100,100,100,100,67,100,100,100,100,100,67,100,100,100,100,100,0,100,100,100,100,100,67,67,100,0,0,33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,67,-1,-1,100,67,100,67,-1,-1,100,67,100,100,100,-1,-1,-1,100,-1,-1,-1,-1,-1,33,67,0,100,0,-1,a,a,a,a,a,c,a,a,a,c,a,a,c,a,d,b,a,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,c,a,a,a,a,b,b,d,b,b,b,e,a,a,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,a,d,a,a,a,a,a,b,b,a,d,d,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,b,e,e,a,b,a,b,e,e,a,b,a,a,a,e,e,e,a,e,e,e,e,e,c,b,d,a,d,e
FR,2012,100,67,100,100,0,0,100,100,0,0,100,100,33,100,33,100,100,100,67,100,100,33,100,33,100,100,100,100,67,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,67,100,100,100,67,100,100,100,67,100,100,100,100,100,100,100,0,100,100,100,100,100,100,67,100,100,0,67,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,67,100,100,0,67,100,67,100,67,100,67,67,100,100,67,100,100,33,33,0,33,100,33,33,33,33,0,33,100,33,100,0,100,a,b,a,a,d,d,a,a,d,d,a,a,c,a,c,a,a,a,b,a,a,c,a,c,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,b,a,a,a,b,a,a,a,b,a,a,a,a,a,a,a,d,a,a,a,a,a,a,b,a,a,d,b,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,b,a,a,d,b,a,b,a,b,a,b,b,a,a,b,a,a,c,c,d,c,a,c,c,c,c,d,c,a,c,a,d,a
GE,2006,67,67,67,33,0,0,100,100,0,0,33,100,100,33,33,0,0,67,33,33,33,33,0,0,0,33,67,33,33,0,0,0,0,0,-1,33,0,33,0,0,0,33,67,67,0,67,33,33,0,0,0,0,0,0,67,100,0,0,0,100,33,33,67,33,-1,33,67,33,33,67,33,100,100,67,33,67,100,0,33,33,33,67,0,0,0,0,100,33,67,100,0,100,33,-1,33,-1,-1,-1,33,33,67,100,-1,-1,100,33,100,33,0,-1,-1,-1,33,-1,-1,-1,-1,-1,67,33,67,0,-1,-1,b,b,b,c,d,d,a,a,d,d,c,a,a,c,c,d,d,b,c,c,c,c,d,d,d,c,b,c,c,d,d,d,d,d,e,c,d,c,d,d,d,c,b,b,d,b,c,c,d,d,d,d,d,d,b,a,d,d,d,a,c,c,b,c,e,c,b,c,c,b,c,a,a,b,c,b,a,d,c,c,c,b,d,d,d,d,a,c,b,a,d,a,c,e,c,e,e,e,c,c,b,a,e,e,a,c,a,c,d,e,e,e,c,e,e,e,e,e,b,c,b,d,e,e
GE,2008,100,100,33,67,100,33,100,100,100,100,33,100,33,100,0,33,67,100,100,33,67,100,100,100,100,100,67,67,67,-1,33,100,33,100,-1,33,67,0,33,0,0,33,67,67,33,-1,0,33,33,0,0,0,0,0,67,100,0,0,33,100,33,67,67,67,33,0,100,67,0,100,67,100,100,100,33,33,100,33,33,33,33,33,33,0,67,-1,67,33,0,100,-1,100,33,0,0,67,-1,-1,100,0,67,100,-1,-1,100,33,33,0,33,-1,-1,-1,100,-1,-1,-1,-1,-1,0,33,67,0,100,-1,a,a,c,b,a,c,a,a,a,a,c,a,c,a,d,c,b,a,a,c,b,a,a,a,a,a,b,b,b,e,c,a,c,a,e,c,b,d,c,d,d,c,b,b,c,e,d,c,c,d,d,d,d,d,b,a,d,d,c,a,c,b,b,b,c,d,a,b,d,a,b,a,a,a,c,c,a,c,c,c,c,c,c,d,b,e,b,c,d,a,e,a,c,d,d,b,e,e,a,d,b,a,e,e,a,c,c,d,c,e,e,e,a,e,e,e,e,e,d,c,b,d,a,e
